unit_id,source_id,source_pdf,journal,doi,publication_date,relevance_class,hydrology_axis_article,gate_primary,gate_secondary,claim_axis_detected,unit_length_chars,unit_text_sha256_prefix,lexical_triggers,raw_text_stored
HYDRO-RU-00001,1,001_Nature_s41586-026-10487-7_peer_review_file.pdf,Nature,10.1038/s41586-026-10487-7,2026-05-13,high_core,terrestrial water storage; precipitation concentration; water cycle,hydrological_variable_validity,sampling_gauge_representativeness,terrestrial water storage,1375,f7a05d32104aaa07,storage; tws; concentration,False
HYDRO-RU-00002,1,001_Nature_s41586-026-10487-7_peer_review_file.pdf,Nature,10.1038/s41586-026-10487-7,2026-05-13,high_core,terrestrial water storage; precipitation concentration; water cycle,hydrological_variable_validity,scale_basin_consistency,terrestrial water storage,1258,b121c5aa29660fe3,storage; concentration,False
HYDRO-RU-00003,1,001_Nature_s41586-026-10487-7_peer_review_file.pdf,Nature,10.1038/s41586-026-10487-7,2026-05-13,high_core,terrestrial water storage; precipitation concentration; water cycle,novelty_related_work_positioning,,general hydrological evidence chain,222,f8e48b2e16b7a533,advance,False
HYDRO-RU-00004,1,001_Nature_s41586-026-10487-7_peer_review_file.pdf,Nature,10.1038/s41586-026-10487-7,2026-05-13,high_core,terrestrial water storage; precipitation concentration; water cycle,claim_evidence_calibration,scale_basin_consistency,hydrological data/model product,182,0f1d00bc24a7ba07,evidence,False
HYDRO-RU-00005,1,001_Nature_s41586-026-10487-7_peer_review_file.pdf,Nature,10.1038/s41586-026-10487-7,2026-05-13,high_core,terrestrial water storage; precipitation concentration; water cycle,claim_evidence_calibration,validation_independent_testing,general hydrological evidence chain,217,1f2d14b794a025ac,evidence,False
HYDRO-RU-00006,1,001_Nature_s41586-026-10487-7_peer_review_file.pdf,Nature,10.1038/s41586-026-10487-7,2026-05-13,high_core,terrestrial water storage; precipitation concentration; water cycle,claim_evidence_calibration,,general evidence calibration,149,e5952eda7ede3483,,False
HYDRO-RU-00007,1,001_Nature_s41586-026-10487-7_peer_review_file.pdf,Nature,10.1038/s41586-026-10487-7,2026-05-13,high_core,terrestrial water storage; precipitation concentration; water cycle,hydrological_variable_validity,scale_basin_consistency,groundwater/aquifers,325,63ffd860c486d822,tws; groundwater; soil moisture,False
HYDRO-RU-00008,1,001_Nature_s41586-026-10487-7_peer_review_file.pdf,Nature,10.1038/s41586-026-10487-7,2026-05-13,high_core,terrestrial water storage; precipitation concentration; water cycle,claim_evidence_calibration,validation_independent_testing,terrestrial water storage,187,48f8f232b5e05168,evidence,False
HYDRO-RU-00009,1,001_Nature_s41586-026-10487-7_peer_review_file.pdf,Nature,10.1038/s41586-026-10487-7,2026-05-13,high_core,terrestrial water storage; precipitation concentration; water cycle,trend_attribution_temporal_support,scale_basin_consistency,general hydrological evidence chain,198,3104edb5ab15ae5c,trend; 2024,False
HYDRO-RU-00010,1,001_Nature_s41586-026-10487-7_peer_review_file.pdf,Nature,10.1038/s41586-026-10487-7,2026-05-13,high_core,terrestrial water storage; precipitation concentration; water cycle,claim_evidence_calibration,,general evidence calibration,96,6e5cb5f63acf2102,,False
HYDRO-RU-00011,1,001_Nature_s41586-026-10487-7_peer_review_file.pdf,Nature,10.1038/s41586-026-10487-7,2026-05-13,high_core,terrestrial water storage; precipitation concentration; water cycle,sampling_gauge_representativeness,scale_basin_consistency,precipitation-runoff partitioning,511,851caa303b63df7e,gauge; station; coverage; region,False
HYDRO-RU-00012,1,001_Nature_s41586-026-10487-7_peer_review_file.pdf,Nature,10.1038/s41586-026-10487-7,2026-05-13,high_core,terrestrial water storage; precipitation concentration; water cycle,claim_evidence_calibration,remote_sensing_data_assimilation,hydrological data/model product,161,490c347dcdca9b37,evidence,False
HYDRO-RU-00013,1,001_Nature_s41586-026-10487-7_peer_review_file.pdf,Nature,10.1038/s41586-026-10487-7,2026-05-13,high_core,terrestrial water storage; precipitation concentration; water cycle,claim_evidence_calibration,,general evidence calibration,97,a51d42c2a43ead4a,,False
HYDRO-RU-00014,1,001_Nature_s41586-026-10487-7_peer_review_file.pdf,Nature,10.1038/s41586-026-10487-7,2026-05-13,high_core,terrestrial water storage; precipitation concentration; water cycle,remote_sensing_data_assimilation,detail_audit,terrestrial water storage,639,25bef8a96018c286,satellite; product,False
HYDRO-RU-00015,1,001_Nature_s41586-026-10487-7_peer_review_file.pdf,Nature,10.1038/s41586-026-10487-7,2026-05-13,high_core,terrestrial water storage; precipitation concentration; water cycle,hydrological_variable_validity,extreme_event_definition,flood risk/extremes,215,04b557625837020d,groundwater,False
HYDRO-RU-00016,1,001_Nature_s41586-026-10487-7_peer_review_file.pdf,Nature,10.1038/s41586-026-10487-7,2026-05-13,high_core,terrestrial water storage; precipitation concentration; water cycle,hydrological_variable_validity,trend_attribution_temporal_support,terrestrial water storage,289,bb23a709f5de19ff,tws,False
HYDRO-RU-00017,1,001_Nature_s41586-026-10487-7_peer_review_file.pdf,Nature,10.1038/s41586-026-10487-7,2026-05-13,high_core,terrestrial water storage; precipitation concentration; water cycle,claim_evidence_calibration,,general evidence calibration,128,08182c51f3e81560,,False
HYDRO-RU-00018,1,001_Nature_s41586-026-10487-7_peer_review_file.pdf,Nature,10.1038/s41586-026-10487-7,2026-05-13,high_core,terrestrial water storage; precipitation concentration; water cycle,detail_audit,,general hydrological evidence chain,213,249a173dec5b8adb,line,False
HYDRO-RU-00019,1,001_Nature_s41586-026-10487-7_peer_review_file.pdf,Nature,10.1038/s41586-026-10487-7,2026-05-13,high_core,terrestrial water storage; precipitation concentration; water cycle,hydrological_variable_validity,detail_audit,precipitation-runoff partitioning,263,2b79e4a5cf3e3f7d,runoff,False
HYDRO-RU-00020,1,001_Nature_s41586-026-10487-7_peer_review_file.pdf,Nature,10.1038/s41586-026-10487-7,2026-05-13,high_core,terrestrial water storage; precipitation concentration; water cycle,hydrological_variable_validity,water_quality_transport,precipitation-runoff partitioning,504,30d8c45fc4cfa6e2,runoff; volume,False
HYDRO-RU-00021,1,001_Nature_s41586-026-10487-7_peer_review_file.pdf,Nature,10.1038/s41586-026-10487-7,2026-05-13,high_core,terrestrial water storage; precipitation concentration; water cycle,sampling_gauge_representativeness,hydrological_variable_validity,terrestrial water storage,432,03ea66d33a29cc80,gauge; coverage; region,False
HYDRO-RU-00022,1,001_Nature_s41586-026-10487-7_peer_review_file.pdf,Nature,10.1038/s41586-026-10487-7,2026-05-13,high_core,terrestrial water storage; precipitation concentration; water cycle,hydrological_variable_validity,sampling_gauge_representativeness,precipitation-runoff partitioning,631,7157aca775611551,concentration,False
HYDRO-RU-00023,1,001_Nature_s41586-026-10487-7_peer_review_file.pdf,Nature,10.1038/s41586-026-10487-7,2026-05-13,high_core,terrestrial water storage; precipitation concentration; water cycle,scale_basin_consistency,sampling_gauge_representativeness,precipitation-runoff partitioning,814,0076569e03314fb7,scale; global,False
HYDRO-RU-00024,1,001_Nature_s41586-026-10487-7_peer_review_file.pdf,Nature,10.1038/s41586-026-10487-7,2026-05-13,high_core,terrestrial water storage; precipitation concentration; water cycle,scale_basin_consistency,trend_attribution_temporal_support,general hydrological evidence chain,88,edf59ccd8efe0541,basin,False
HYDRO-RU-00025,1,001_Nature_s41586-026-10487-7_peer_review_file.pdf,Nature,10.1038/s41586-026-10487-7,2026-05-13,high_core,terrestrial water storage; precipitation concentration; water cycle,detail_audit,,general hydrological evidence chain,196,d617463d29cd363e,line,False
HYDRO-RU-00026,1,001_Nature_s41586-026-10487-7_peer_review_file.pdf,Nature,10.1038/s41586-026-10487-7,2026-05-13,high_core,terrestrial water storage; precipitation concentration; water cycle,trend_attribution_temporal_support,scale_basin_consistency,terrestrial water storage,1333,3d5021bce4ebc10a,trend; 2016; 2024; variability,False
HYDRO-RU-00027,1,001_Nature_s41586-026-10487-7_peer_review_file.pdf,Nature,10.1038/s41586-026-10487-7,2026-05-13,high_core,terrestrial water storage; precipitation concentration; water cycle,trend_attribution_temporal_support,hydrological_variable_validity,drought/water scarcity,1392,0ba6446dd3676126,attribution; period; 2024; variability,False
HYDRO-RU-00028,1,001_Nature_s41586-026-10487-7_peer_review_file.pdf,Nature,10.1038/s41586-026-10487-7,2026-05-13,high_core,terrestrial water storage; precipitation concentration; water cycle,human_water_interaction,hydrological_variable_validity,groundwater/aquifers,1148,563d968841f4b2b2,irrigation; pumping; management; human,False
HYDRO-RU-00029,1,001_Nature_s41586-026-10487-7_peer_review_file.pdf,Nature,10.1038/s41586-026-10487-7,2026-05-13,high_core,terrestrial water storage; precipitation concentration; water cycle,sampling_gauge_representativeness,statistical_uncertainty,precipitation-runoff partitioning,1359,ef94ff49a8dc7cd2,gauge; station; coverage; sparse,False
HYDRO-RU-00030,1,001_Nature_s41586-026-10487-7_peer_review_file.pdf,Nature,10.1038/s41586-026-10487-7,2026-05-13,high_core,terrestrial water storage; precipitation concentration; water cycle,scale_basin_consistency,trend_attribution_temporal_support,terrestrial water storage,1272,f19390204479399a,scale; grid,False
HYDRO-RU-00031,1,001_Nature_s41586-026-10487-7_peer_review_file.pdf,Nature,10.1038/s41586-026-10487-7,2026-05-13,high_core,terrestrial water storage; precipitation concentration; water cycle,hydrological_variable_validity,model_assumption_sensitivity,groundwater/aquifers,1368,2c6bb17a3d748a73,runoff; storage; tws; groundwater,False
HYDRO-RU-00032,1,001_Nature_s41586-026-10487-7_peer_review_file.pdf,Nature,10.1038/s41586-026-10487-7,2026-05-13,high_core,terrestrial water storage; precipitation concentration; water cycle,trend_attribution_temporal_support,detail_audit,groundwater/aquifers,1361,e47f0e890855140f,trend; time series; variability,False
HYDRO-RU-00033,1,001_Nature_s41586-026-10487-7_peer_review_file.pdf,Nature,10.1038/s41586-026-10487-7,2026-05-13,high_core,terrestrial water storage; precipitation concentration; water cycle,detail_audit,hydrological_variable_validity,groundwater/aquifers,1049,3648f17024f51f47,figure; supplementary; line,False
HYDRO-RU-00034,1,001_Nature_s41586-026-10487-7_peer_review_file.pdf,Nature,10.1038/s41586-026-10487-7,2026-05-13,high_core,terrestrial water storage; precipitation concentration; water cycle,human_water_interaction,hydrological_variable_validity,terrestrial water storage,134,f929f21ec0820765,management; human,False
HYDRO-RU-00035,2,002_Nature_s41586-026-10300-5_peer_review_file.pdf,Nature,10.1038/s41586-026-10300-5,2026-03-25,high_core,precipitation observing networks; gauge data gaps; climate impact assessment,scale_basin_consistency,trend_attribution_temporal_support,precipitation-runoff partitioning,2312,b8714b2016b175df,resolution; spatial; global,False
HYDRO-RU-00036,2,002_Nature_s41586-026-10300-5_peer_review_file.pdf,Nature,10.1038/s41586-026-10300-5,2026-03-25,high_core,precipitation observing networks; gauge data gaps; climate impact assessment,sampling_gauge_representativeness,model_assumption_sensitivity,general hydrological evidence chain,303,4d17a6f704fc9cee,region,False
HYDRO-RU-00037,2,002_Nature_s41586-026-10300-5_peer_review_file.pdf,Nature,10.1038/s41586-026-10300-5,2026-03-25,high_core,precipitation observing networks; gauge data gaps; climate impact assessment,statistical_uncertainty,sampling_gauge_representativeness,precipitation-runoff partitioning,539,d5477e4f929a9743,bias; robust,False
HYDRO-RU-00038,2,002_Nature_s41586-026-10300-5_peer_review_file.pdf,Nature,10.1038/s41586-026-10300-5,2026-03-25,high_core,precipitation observing networks; gauge data gaps; climate impact assessment,sampling_gauge_representativeness,model_assumption_sensitivity,general hydrological evidence chain,442,dbc9b2991ae96bf2,gauge; region; china; united states,False
HYDRO-RU-00039,2,002_Nature_s41586-026-10300-5_peer_review_file.pdf,Nature,10.1038/s41586-026-10300-5,2026-03-25,high_core,precipitation observing networks; gauge data gaps; climate impact assessment,claim_evidence_calibration,sampling_gauge_representativeness,general hydrological evidence chain,489,3851661c28a4abd7,support,False
HYDRO-RU-00040,2,002_Nature_s41586-026-10300-5_peer_review_file.pdf,Nature,10.1038/s41586-026-10300-5,2026-03-25,high_core,precipitation observing networks; gauge data gaps; climate impact assessment,sampling_gauge_representativeness,detail_audit,general hydrological evidence chain,330,23ed6405d4dbb3b6,region,False
